"Key for ""Category"""			
eup	Euploid segment		
lym	Lymphocyte V(D)J recombination		
put	Putative CNV		
			
Sample	Size (bins)	IntDist	Category
LYMcell07	1907	0.008651802	eup
LYMcell07	646	0.023549391	eup
LYMcell07	664	0.046828251	eup
LYMcell07	309	0.000408539	eup
LYMcell07	972	0.07547573	eup
LYMcell07	1474	0.066717981	eup
LYMcell07	400	0.008969373	eup
LYMcell07	70	0.048887851	eup
LYMcell07	377	0.059102289	eup
LYMcell07	1067	0.001432869	eup
LYMcell07	1295	0.032685343	eup
LYMcell07	1261	0.082556443	eup
LYMcell07	1235	0.088919852	eup
LYMcell07	1271	0.0033374	eup
LYMcell07	90	0.19958645	eup
LYMcell07	554	0.016631569	eup
LYMcell07	1122	0.151914941	eup
LYMcell07	651	0.021241608	eup
LYMcell07	419	0.080097466	eup
LYMcell07	710	0.077365834	eup
LYMcell07	15	0.258126356	eup
LYMcell07	959	0.009435178	eup
LYMcell07	893	0.027938044	eup
LYMcell07	886	0.092661666	eup
LYMcell07	131	0.066949723	eup
LYMcell07	9	0.49190011	eup
LYMcell07	25	0.121076753	eup
LYMcell08	39	0.3186068	eup
LYMcell08	30	0.379388305	eup
LYMcell08	59	0.342404788	eup
LYMcell08	61	0.017546256	eup
LYMcell08	100	0.017289895	eup
LYMcell08	249	0.047165998	eup
LYMcell08	120	0.204236534	eup
LYMcell08	99	0.164303632	eup
LYMcell08	75	0.415792878	eup
LYMcell08	1072	0.03388959	eup
LYMcell08	121	0.095277167	eup
LYMcell08	33	0.039499763	eup
LYMcell08	292	0.124272372	eup
LYMcell08	42	0.120378845	eup
LYMcell08	315	0.05916404	eup
LYMcell08	255	0.0202482	eup
LYMcell08	643	0.061111883	eup
LYMcell08	51	0.120471205	eup
LYMcell08	436	0.011621036	eup
LYMcell08	858	0.019495801	eup
LYMcell08	191	0.01093725	eup
LYMcell08	3	0.46526889	eup
LYMcell08	393	0.181344584	eup
LYMcell08	355	0.004421982	eup
LYMcell08	81	0.085793382	eup
LYMcell08	303	0.169701082	eup
LYMcell08	17	0.4401726	eup
LYMcell08	583	0.060542161	eup
LYMcell08	166	0.039083313	eup
LYMcell08	329	0.136016011	eup
LYMcell08	351	0.093148207	eup
LYMcell08	286	0.043489035	eup
LYMcell08	3	0.390407081	eup
LYMcell08	54	0.009229905	eup
LYMcell08	1049	0.010912846	eup
LYMcell08	411	0.038490866	eup
LYMcell08	56	0.255007894	eup
LYMcell08	291	0.184944254	eup
LYMcell08	151	0.199515788	eup
LYMcell08	269	0.000667901	eup
LYMcell08	84	0.144184301	eup
LYMcell08	27	0.473562051	eup
LYMcell08	82	0.175076293	eup
LYMcell08	116	0.10434267	eup
LYMcell08	9	0.292098319	eup
LYMcell08	18	0.341889805	eup
LYMcell08	891	0.080568939	eup
LYMcell08	47	0.153422645	eup
LYMcell08	68	0.006025138	eup
LYMcell08	38	0.1821264	eup
LYMcell08	64	0.070299885	eup
LYMcell08	24	0.253023473	eup
LYMcell08	171	0.057264636	eup
LYMcell08	122	0.000224611	eup
LYMcell08	401	0.176473087	eup
LYMcell08	479	0.098615763	eup
LYMcell08	130	0.09169395	eup
LYMcell08	640	0.031599241	eup
LYMcell08	424	0.096690895	eup
LYMcell08	235	0.084765004	eup
LYMcell15	1907	0.000341885	eup
LYMcell15	1793	0.019019527	eup
LYMcell15	709	0.070677938	eup
LYMcell15	1249	0.028241853	eup
LYMcell15	1456	0.006819879	eup
LYMcell15	377	0.008679604	eup
LYMcell15	1066	0.049253169	eup
LYMcell15	1295	0.075931997	eup
LYMcell15	1261	0.019940072	eup
LYMcell15	674	0.041928028	eup
LYMcell15	550	0.115033509	eup
LYMcell15	1271	0.068551806	eup
LYMcell15	1232	0.021753865	eup
LYMcell15	1122	0.032917186	eup
LYMcell15	1138	0.094272661	eup
LYMcell15	420	0.052474664	eup
LYMcell15	710	0.025454935	eup
LYMcell15	1016	0.013287205	eup
LYMcell15	552	0.038481546	eup
LYMcell15	406	0.019488858	eup
LYMcell15	893	0.058717268	eup
LYMcell15	886	0.037155754	eup
LYMcell15	235	0.071114133	eup
LYMcell15	1315	0.094544784	eup
LYMcell26	516	0.155499601	eup
LYMcell26	1391	0.006661463	eup
LYMcell26	148	0.001823513	eup
LYMcell26	31	0.453205832	eup
LYMcell26	1131	0.017914601	eup
LYMcell26	1534	0.146376144	eup
LYMcell26	1474	0.210327783	eup
LYMcell26	1224	0.002767711	eup
LYMcell26	30	0.158789958	eup
LYMcell26	191	0.08366955	eup
LYMcell26	638	0.104109736	eup
LYMcell26	335	0.068093685	eup
LYMcell26	239	0.051376712	eup
LYMcell26	217	0.235352278	eup
LYMcell26	1295	0.034177752	eup
LYMcell26	1261	0.018223897	eup
LYMcell26	1235	0.017723014	eup
LYMcell26	176	0.096060734	eup
LYMcell26	1081	0.034723474	eup
LYMcell26	1232	0.095332492	eup
LYMcell26	1065	0.161059705	eup
LYMcell26	49	0.31378283	eup
LYMcell26	1138	0.000715808	eup
LYMcell26	1134	0.000147109	eup
LYMcell26	1016	0.200716058	eup
LYMcell26	694	0.041697986	eup
LYMcell26	263	0.050184194	eup
LYMcell26	893	0.042329807	eup
LYMcell26	886	0.067832079	eup
LYMcell26	278	0.13595886	eup
LYMcell26	314	0.204792895	eup
LYMcell26	1315	0.09942215	eup
LYMcell27	1907	0.242853555	eup
LYMcell27	440	0.021449242	eup
LYMcell27	1282	0.053505162	eup
LYMcell27	65	0.099236949	eup
LYMcell27	741	0.062120484	eup
LYMcell27	28	0.116897075	eup
LYMcell27	38	0.355043902	eup
LYMcell27	545	0.132837354	eup
LYMcell27	357	0.077173504	eup
LYMcell27	1456	0.011998982	eup
LYMcell27	376	0.123756738	eup
LYMcell27	680	0.171125248	eup
LYMcell27	82	0.117808015	eup
LYMcell27	15	0.109321667	eup
LYMcell27	1295	0.084392306	eup
LYMcell27	1261	0.000274897	eup
LYMcell27	1235	0.190180205	eup
LYMcell27	140	0.009878023	eup
LYMcell27	395	0.08932065	eup
LYMcell27	595	0.048436839	eup
LYMcell27	114	0.009773277	eup
LYMcell27	255	0.120690804	eup
LYMcell27	453	0.105040337	eup
LYMcell27	1122	0.246421632	eup
LYMcell27	235	0.021645836	eup
LYMcell27	901	0.041994633	eup
LYMcell27	419	0.059410205	eup
LYMcell27	711	0.061126734	eup
LYMcell27	1016	0.03618043	eup
LYMcell27	959	0.206955614	eup
LYMcell27	658	0.014293766	eup
LYMcell27	886	0.053856627	eup
LYMcell27	593	0.266538229	eup
LYMcell27	506	0.00292298	eup
LYMcell27	808	0.049690789	eup
LYMcell28	1886	0.035813466	eup
LYMcell28	21	0.396974865	eup
LYMcell28	1793	0.025457505	eup
LYMcell28	1443	0.028115929	eup
LYMcell28	82	0.063308111	eup
LYMcell28	1053	0.18155756	eup
LYMcell28	1456	0.023064996	eup
LYMcell28	1399	0.033738856	eup
LYMcell28	44	0.029063894	eup
LYMcell28	433	0.246077342	eup
LYMcell28	109	0.15532828	eup
LYMcell28	446	0.338706123	eup
LYMcell28	176	0.170611618	eup
LYMcell28	1261	0.080695379	eup
LYMcell28	514	0.270284582	eup
LYMcell28	1167	0.089465971	eup
LYMcell28	97	0.153257186	eup
LYMcell28	1232	0.036123993	eup
LYMcell28	206	0.103072705	eup
LYMcell28	30	0.013638782	eup
LYMcell28	884	0.040654021	eup
LYMcell28	251	0.004160668	eup
LYMcell28	236	0.037953575	eup
LYMcell28	895	0.064497051	eup
LYMcell28	437	0.004568009	eup
LYMcell28	29	0.042206453	eup
LYMcell28	218	0.124408973	eup
LYMcell28	959	0.058227959	eup
LYMcell28	893	0.040313398	eup
LYMcell28	224	0.079390929	eup
LYMcell28	657	0.131505623	eup
LYMcell28	593	0.032893171	eup
LYMcell28	104	0.197028712	eup
LYMcell29	313	0.062274644	eup
LYMcell29	1589	0.021522089	eup
LYMcell29	311	0.040035214	eup
LYMcell29	17	0.364418793	eup
LYMcell29	82	0.139304405	eup
LYMcell29	1037	0.039562017	eup
LYMcell29	325	0.086673065	eup
LYMcell29	585	0.00442873	eup
LYMcell29	871	0.156220858	eup
LYMcell29	68	0.050012635	eup
LYMcell29	269	0.164920872	eup
LYMcell29	110	0.077969936	eup
LYMcell29	169	0.429562418	eup
LYMcell29	152	0.293792958	eup
LYMcell29	347	0.105485543	eup
LYMcell29	79	0.268093959	eup
LYMcell29	309	0.008624292	eup
LYMcell29	82	0.062172388	eup
LYMcell29	293	0.185268138	eup
LYMcell29	638	0.165694188	eup
LYMcell29	449	0.129209017	eup
LYMcell29	202	0.086887955	eup
LYMcell29	240	0.017292916	eup
LYMcell29	113	0.034792698	eup
LYMcell29	38	0.005802746	eup
LYMcell29	389	0.215700632	eup
LYMcell29	137	0.15604319	eup
LYMcell29	1271	0.075319493	eup
LYMcell29	1232	0.067769105	eup
LYMcell29	1065	0.222069826	eup
LYMcell29	42	0.071772476	eup
LYMcell29	1138	0.335782431	eup
LYMcell29	1134	0.020927985	eup
LYMcell29	1016	0.050039492	eup
LYMcell29	780	0.053903752	eup
LYMcell29	893	0.045185942	eup
LYMcell29	46	0.288706366	eup
LYMcell29	87	0.441397687	eup
LYMcell29	103	0.037819868	eup
LYMcell29	1315	0.04188438	eup
LYMcell31	714	0.041742465	eup
LYMcell31	1191	0.03554442	eup
LYMcell31	514	0.015277138	eup
LYMcell31	45	0.009589122	eup
LYMcell31	136	0.032618265	eup
LYMcell31	359	0.021388731	eup
LYMcell31	1474	0.05144745	eup
LYMcell31	281	0.241512882	eup
LYMcell31	840	0.040799432	eup
LYMcell31	638	0.183662996	eup
LYMcell31	674	0.142364094	eup
LYMcell31	17	0.344733163	eup
LYMcell31	1295	0.094151336	eup
LYMcell31	1261	0.03825093	eup
LYMcell31	1235	0.117311152	eup
LYMcell31	1271	0.093490753	eup
LYMcell31	20	0.096284804	eup
LYMcell31	103	0.015097289	eup
LYMcell31	293	0.186834749	eup
LYMcell31	127	0.116921773	eup
LYMcell31	194	0.195294127	eup
LYMcell31	1066	0.086885677	eup
LYMcell31	45	0.150245514	eup
LYMcell31	1138	0.127867757	eup
LYMcell31	1134	0.042816824	eup
LYMcell31	1016	0.223255111	eup
LYMcell31	738	0.065139256	eup
LYMcell31	219	0.025815928	eup
LYMcell31	893	0.059054633	eup
LYMcell31	886	0.242280056	eup
LYMcell31	593	0.005047073	eup
LYMcell31	1315	0.004392881	eup
LYMcell32	373	0.009903829	eup
LYMcell32	27	0.408803607	eup
LYMcell32	1392	0.012541042	eup
LYMcell32	345	0.121330692	eup
LYMcell32	938	0.094759384	eup
LYMcell32	98	0.259862936	eup
LYMcell32	14	0.363037566	eup
LYMcell32	114	0.108310675	eup
LYMcell32	796	0.011726106	eup
LYMcell32	7	0.072843852	eup
LYMcell32	35	0.002157407	eup
LYMcell32	630	0.079696822	eup
LYMcell32	833	0.068474125	eup
LYMcell32	25	0.120100106	eup
LYMcell32	133	0.001301015	eup
LYMcell32	313	0.010025173	eup
LYMcell32	150	0.038485068	eup
LYMcell32	127	0.07376146	eup
LYMcell32	299	0.098773483	eup
LYMcell32	36	0.231952462	eup
LYMcell32	232	0.176385748	eup
LYMcell32	519	0.043925146	eup
LYMcell32	194	0.034309163	eup
LYMcell32	589	0.020547571	eup
LYMcell32	24	0.031927094	eup
LYMcell32	549	0.066353976	eup
LYMcell32	270	0.018507021	eup
LYMcell32	349	0.018876597	eup
LYMcell32	666	0.022654385	eup
LYMcell32	989	0.021162922	eup
LYMcell32	263	0.03283274	eup
LYMcell32	84	0.023250153	eup
LYMcell32	374	0.022481002	eup
LYMcell32	148	0.032050997	eup
LYMcell32	99	0.079405634	eup
LYMcell32	128	0.019514329	eup
LYMcell32	90	0.135252874	eup
LYMcell32	71	0.050627197	eup
LYMcell32	136	0.046164579	eup
LYMcell32	66	0.097732374	eup
LYMcell32	527	0.032426329	eup
LYMcell32	90	0.214414638	eup
LYMcell32	540	0.020234559	eup
LYMcell32	182	0.023180601	eup
LYMcell32	697	0.038005837	eup
LYMcell32	311	0.05325937	eup
LYMcell32	1064	0.020316524	eup
LYMcell32	42	0.190560831	eup
LYMcell32	61	0.085185413	eup
LYMcell32	29	0.267479433	eup
LYMcell32	385	0.111943785	eup
LYMcell32	573	0.104287258	eup
LYMcell32	638	0.004094645	eup
LYMcell32	414	0.034576946	eup
LYMcell32	61	0.205468928	eup
LYMcell32	389	0.012877172	eup
LYMcell32	180	0.053913329	eup
